country,pop1,pop2,pop3,pop1PC,pop2PC,pop3PC,pcEN,pcES,pcFR,motivSchool,motivWork,motivTravel,motivBrain,motivFamily,motivCulture,motivOther,ui1,ui2,ui1PC,ui2PC,covidPop1,covidPop2,covidPop3,covidSchool,covidWork,covidTravel,covidBrain,covidFamily,covidCulture,covidOther
Turkey,English,German,Russian,0.633611687,0.116080539,0.052785093,0.633611687,0.041517171,0.030850721,0.301506477,0.149987251,0.097434382,0.116575262,0.075795279,0.140863039,0.117838312,Turkish,English,0.656161608,0.149680026,English,German,Russian,0.27532934,0.142184559,0.092772263,0.123221026,0.081390272,0.161214767,0.123887772
Turkmenistan,English,Russian,German,0.614931776,0.094783918,0.08013508,0.614931776,0.044585406,0.064345366,0.326102231,0.145178289,0.113384859,0.168891621,0.103723871,0.047426664,0.095292464,Russian,English,0.589969425,0.137589559,English,Russian,German,0.326036866,0.139400922,0.115207373,0.164170507,0.108870968,0.053571429,0.092741935
UAE,English,French,Spanish,0.249413297,0.158767466,0.130203695,0.249413297,0.130203695,0.158767466,0.21847316,0.161643545,0.111791193,0.160354682,0.126479881,0.090155153,0.131102386,English,Arabic,0.523935959,0.177509958,English,French,Spanish,0.184214653,0.161232375,0.108410202,0.181862249,0.121512382,0.099756205,0.143011933
Uganda,French,Spanish,Swahili,0.284394549,0.163280151,0.125794093,0.078827409,0.163280151,0.284394549,0.20076281,0.185672434,0.110496932,0.181195069,0.139627439,0.065004698,0.117240617,English,French,0.661219146,0.03283061,French,Spanish,Swahili,0.193742099,0.18710493,0.098609355,0.173198483,0.146017699,0.067319848,0.134007585
Ukraine,English,German,Spanish,0.667993512,0.087719627,0.056016637,0.667993512,0.056016637,0.051542147,0.286816712,0.13950046,0.211678853,0.1445488,0.082852983,0.035906035,0.098696156,Russian,Ukrainian,0.50158631,0.234936774,English,German,Spanish,0.287325966,0.125801732,0.212209329,0.148434265,0.088790938,0.03320113,0.104236641
Uruguay,English,Portuguese,Italian,0.494418015,0.110782588,0.105461127,0.494418015,0.036544195,0.095903461,0.25916649,0.129342558,0.159310086,0.158396293,0.082241405,0.119274513,0.092268655,Spanish,English,0.661874474,0.078375937,English,Portuguese,Italian,0.277067669,0.118536726,0.135425101,0.172151533,0.08377675,0.121920185,0.091122036
USA,Spanish,English,French,0.324818756,0.157656769,0.119244591,0.157656769,0.324818756,0.119244591,0.224432839,0.109131797,0.109511643,0.167258821,0.131289472,0.107421373,0.150954055,English,Spanish,0.565631938,0.095606917,Spanish,English,French,0.240704011,0.099770911,0.091201512,0.180369891,0.123633711,0.110800416,0.153519547
Uzbekistan,English,Russian,German,0.604215986,0.091249212,0.069538787,0.604215986,0.048417221,0.057089495,0.330006646,0.161364643,0.126063358,0.138834736,0.107465662,0.051550731,0.084714222,Russian,English,0.639595056,0.189130512,English,Russian,German,0.336699459,0.155775621,0.129389537,0.142354551,0.097009577,0.045410124,0.093361131
Venezuela,English,Italian,Portuguese,0.665888315,0.080344159,0.074873113,0.665888315,0.014857046,0.074343224,0.307051205,0.18130098,0.110807784,0.138928725,0.09432759,0.092516528,0.075067188,Spanish,English,0.765371368,0.038544563,English,Italian,French,0.314691291,0.173057144,0.095993284,0.149816983,0.08613153,0.102671144,0.077638624
Vietnam,English,Chinese,Vietnamese,0.7757667,0.044535864,0.040591816,0.7757667,0.014342295,0.020622407,0.261692661,0.186468203,0.082249028,0.231016118,0.096411752,0.060565588,0.08159665,Vietnamese,English,0.768796876,0.150851315,English,Vietnamese,Chinese,0.254541691,0.194276008,0.078362434,0.223821352,0.103840956,0.059343342,0.085814217
Yemen,English,French,German,0.790831077,0.060748006,0.031279734,0.790831077,0.019688209,0.060748006,0.337874133,0.130676731,0.085631528,0.146581234,0.107925919,0.113297639,0.078012815,Arabic,English,0.813355412,0.108641953,English,French,Turkish,0.313149262,0.120420995,0.086386003,0.149125205,0.117003827,0.125341717,0.088572991
Zambia,French,Spanish,English,0.278687337,0.201608229,0.082657201,0.082657201,0.201608229,0.278687337,0.198141637,0.123723422,0.103465595,0.216390424,0.139544617,0.082119538,0.136614766,English,French,0.64749348,0.039626195,French,Spanish,Chinese,0.167020148,0.127253446,0.095440085,0.235418876,0.147932131,0.083775186,0.143160127
Zimbabwe,French,Spanish,German,0.355642645,0.172627654,0.089148467,0.030857621,0.172627654,0.355642645,0.253227591,0.154463298,0.099594246,0.2025083,0.116838805,0.061785319,0.111582442,English,French,0.71029602,0.013012708,French,Spanish,German,0.231837607,0.151175214,0.105235043,0.206730769,0.116987179,0.069444444,0.118589744
